城市,编号,名称,地区,经纬度
北京市,BV10013431,鼓楼大街(地铁站),西城区,"116.393776,39.948972"
北京市,BV10012561,方庄(地铁站),丰台区,"116.440244,39.865868"
北京市,BV10007162,劲松(地铁站),朝阳区,"116.461325,39.884387"
北京市,BV10013412,新街口(地铁站),西城区,"116.367742,39.940667"
北京市,BV11255159,广渠路(地铁站),朝阳区,"116.504037,39.893106"
北京市,BV10013438,刘家窑(地铁站),丰台区,"116.422119,39.857521"
北京市,BV10013437,车公庄(地铁站),西城区,"116.354357,39.932397"
北京市,BV10000543,潘家园(地铁站),朝阳区,"116.460926,39.875387"
北京市,BV11255157,广渠东路(地铁站),朝阳区,"116.508774,39.887362"
北京市,BV10011994,团结湖(地铁站),朝阳区,"116.461806,39.933747"
北京市,BV10013430,积水潭(地铁站),西城区,"116.373126,39.948653"
北京市,BV10590952,景风门(地铁站),丰台区,"116.365564,39.862731"
北京市,BV10013364,大望路(地铁站),朝阳区,"116.475783,39.908287"
北京市,BV10013459,木樨地(地铁站),西城区,"116.337583,39.907379"
北京市,BV10013463,安德里北街(地铁站),东城区,"116.395145,39.957227"
北京市,BV10006616,和平里北街(地铁站),东城区,"116.418504,39.958734"
北京市,BV10013363,红庙(地铁站),朝阳区,"116.478064,39.915605"
北京市,BV10006224,九龙山(地铁站),朝阳区,"116.478695,39.893222"
北京市,BV10001223,农业展览馆(地铁站),朝阳区,"116.461724,39.941344"
北京市,BV11315918,甘露园(地铁站),朝阳区,"116.521165,39.916879"
北京市,BV10005975,达官营(地铁站),西城区,"116.336455,39.889884"
北京市,BV10000051,车公庄西(地铁站),西城区,"116.344082,39.932466"
北京市,BV11640697,和义(地铁站),丰台区,"116.402073,39.814838"
北京市,BV10007475,平乐园(地铁站),朝阳区,"116.477307,39.885275"
北京市,BV10013511,柳芳(地铁站),朝阳区,"116.432728,39.958157"
北京市,BV10008284,金台路(地铁站),朝阳区,"116.478115,39.923556"
北京市,BV10013370,西铁营(地铁站),丰台区,"116.355953,39.861358"
北京市,BV10009949,马家堡(地铁站),丰台区,"116.371361,39.853109"
北京市,BV10013492,石榴庄(地铁站),丰台区,"116.414103,39.845905"
北京市,BV11031727,十八里店(地铁站),朝阳区,"116.495847,39.844300"
北京市,BV10013501,甘家口(地铁站),海淀区,"116.334534,39.923392"
北京市,BV10000737,大红门(地铁站),丰台区,"116.399154,39.845383"
北京市,BV10000743,宋家庄(地铁站),丰台区,"116.428368,39.845849"
北京市,BV10590953,北工大西门(地铁站),朝阳区,"116.477318,39.875437"
北京市,BV10013493,角门东(地铁站),丰台区,"116.385649,39.845135"
北京市,BV10000196,亮马桥(地铁站),朝阳区,"116.461794,39.949415"
北京市,BV10416593,朝阳公园(地铁站),朝阳区,"116.478291,39.933492"
北京市,BV10013371,菜户营(地铁站),丰台区,"116.342444,39.867627"
北京市,BV10006771,动物园(地铁站),西城区,"116.339031,39.938250"
北京市,BV11640698,东高地(地铁站),丰台区,"116.409427,39.805074"
北京市,BV10013386,大郊亭(地铁站),朝阳区,"116.487935,39.893183"
北京市,BV10006599,湾子(地铁站),西城区,"116.327753,39.889954"
北京市,BV10007166,分钟寺(地铁站),丰台区,"116.453976,39.852227"
北京市,BV10000063,二里沟(地铁站),西城区,"116.333517,39.933844"
北京市,BV10874514,安贞桥(地铁站),东城区,"116.407446,39.968916"
北京市,BV10013417,角门西(地铁站),丰台区,"116.371154,39.845850"
北京市,BV10001221,和平西桥(地铁站),朝阳区,"116.417975,39.968386"
北京市,BV10013464,安华桥(地铁站),朝阳区,"116.394655,39.968507"
北京市,BV10416587,枣营(地铁站),朝阳区,"116.474947,39.944132"
北京市,BV10013476,白堆子(地铁站),海淀区,"116.325762,39.923818"
北京市,BV10013491,成寿寺(地铁站),朝阳区,"116.447531,39.845874"
北京市,BV10000188,军事博物馆(地铁站),海淀区,"116.321459,39.907422"
北京市,BV10013512,光熙门(地铁站),朝阳区,"116.431761,39.968337"
北京市,BV11640693,火箭万源(地铁站),丰台区,"116.418627,39.799287"
北京市,BV10874517,马甸(地铁站),西城区,"116.380788,39.968193"
北京市,BV10874512,西坝河(地铁站),朝阳区,"116.441541,39.966297"
北京市,BV10000275,四惠(地铁站),朝阳区,"116.495456,39.908749"
北京市,BV10013372,丽泽商务区(地铁站),丰台区,"116.331268,39.867718"
北京市,BV10000061,白石桥南(地铁站),海淀区,"116.325680,39.933022"
北京市,BV10000647,百子湾(地铁站),朝阳区,"116.497768,39.892530"
北京市,BV10874516,北太平庄(地铁站),海淀区,"116.370070,39.968793"
北京市,BV10000222,草桥(地铁站),丰台区,"116.351387,39.845869"
北京市,BV10013487,安贞门(地铁站),朝阳区,"116.405954,39.977005"
北京市,BV10008170,公益西桥(地铁站),丰台区,"116.370837,39.836981"
北京市,BV10000269,六里桥东(地铁站),丰台区,"116.315024,39.887125"
北京市,BV11409820,富丰桥(地铁站),丰台区,"116.286877,39.836199"
北京市,BV10013465,北土城(地铁站),朝阳区,"116.394193,39.976953"
北京市,BV10005412,惠新西街南口(地铁站),朝阳区,"116.417537,39.977121"
北京市,BV10000252,国家图书馆(地铁站),海淀区,"116.325190,39.943114"
北京市,BV10002829,莲花桥(地铁站),海淀区,"116.310347,39.897867"
北京市,BV10000306,公主坟(地铁站),海淀区,"116.309919,39.907469"
北京市,BV10013488,太阳宫(地铁站),朝阳区,"116.447469,39.972678"
北京市,BV10004058,健德门(地铁站),朝阳区,"116.381353,39.976723"
北京市,BV10000481,十里堡(地铁站),朝阳区,"116.502045,39.923076"
北京市,BV10847817,蓟门桥(地铁站),海淀区,"116.354661,39.967710"
北京市,BV10013387,化工(地铁站),朝阳区,"116.503439,39.887369"
北京市,BV10013373,东管头(地铁站),丰台区,"116.321197,39.867570"
北京市,BV11315915,定福庄(地铁站),朝阳区,"116.560938,39.915990"
北京市,BV11640691,五福堂(地铁站),大兴区,"116.423903,39.785046"
北京市,BV10701092,石佛营(地铁站),朝阳区,"116.498326,39.935073"
北京市,BV10011446,肖村(地铁站),朝阳区,"116.448364,39.834217"
北京市,BV10006575,芍药居(地铁站),朝阳区,"116.435914,39.977636"
北京市,BV10013388,南楼梓庄(地铁站),朝阳区,"116.501084,39.874578"
北京市,BV10000017,牡丹园(地铁站),海淀区,"116.369844,39.976603"
北京市,BV11103939,田村(地铁站),海淀区,"116.252914,39.929503"
北京市,BV10001016,大钟寺(地铁站),海淀区,"116.345139,39.966612"
北京市,BV11409819,看丹(地铁站),丰台区,"116.272874,39.834952"
北京市,BV10013509,花园桥(地铁站),海淀区,"116.310683,39.932340"
北京市,BV11303298,黄厂(地铁站),朝阳区,"116.553759,39.848979"
北京市,BV10013389,欢乐谷景区(地铁站),朝阳区,"116.500067,39.866505"
北京市,BV10562654,东管头南(地铁站),丰台区,"116.323133,39.855638"
北京市,BV10416594,东风北桥(地铁站),朝阳区,"116.485919,39.958375"
北京市,BV10013466,奥体中心(地铁站),朝阳区,"116.393759,39.985837"
北京市,BV10006086,纪家庙(地铁站),丰台区,"116.333381,39.844433"
北京市,BV11409818,榆树庄(地铁站),丰台区,"116.258812,39.838974"
北京市,BV10013486,西土城(地铁站),海淀区,"116.354098,39.976549"
北京市,BV10007589,四惠东(地铁站),朝阳区,"116.515664,39.908495"
